"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021846","GO:BP",0.869920511106159,"cell proliferation in forebrain",42,6388,"GO:0030900,GO:0061351"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021847","GO:BP",0.869920511106159,"ventricular zone neuroblast division",42,6389,"GO:0021869,GO:0021873"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021854","GO:BP",0.869920511106159,"hypothalamus development",42,6396,"GO:0021536,GO:0021761,GO:0048856"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021869","GO:BP",0.869920511106159,"forebrain ventricular zone progenitor cell division",42,6405,"GO:0021846,GO:0051301"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0030321","GO:BP",0.869920511106159,"transepithelial chloride transport",42,6733,"GO:0006821,GO:0070633"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021872","GO:BP",0.869920511106159,"forebrain generation of neurons",42,6408,"GO:0030900,GO:0048699"
"hubs",FALSE,0.869920511106159,3,20,2,0.1,0.666666666666667,"GO:0021983","GO:BP",0.869920511106159,"pituitary gland development",42,6506,"GO:0021536,GO:0035270,GO:0048732"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021987","GO:BP",0.869920511106159,"cerebral cortex development",42,6510,"GO:0021543,GO:0048856"
"hubs",FALSE,0.869920511106159,7,20,4,0.2,0.571428571428571,"GO:0071705","GO:BP",0.869920511106159,"nitrogen compound transport",42,16638,"GO:0006810"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071695","GO:BP",0.869920511106159,"anatomical structure maturation",42,16632,"GO:0021700,GO:0048856"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0022412","GO:BP",0.869920511106159,"cellular process involved in reproduction in multicellular organism",42,6571,"GO:0009987,GO:0048609"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071600","GO:BP",0.869920511106159,"otic vesicle morphogenesis",42,16556,"GO:0042472,GO:0048562,GO:0060562,GO:0071599"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071599","GO:BP",0.869920511106159,"otic vesicle development",42,16555,"GO:0007423,GO:0035295,GO:0048839,GO:0060429"
"hubs",FALSE,0.869920511106159,13,20,9,0.45,0.692307692307692,"GO:0022607","GO:BP",0.869920511106159,"cellular component assembly",42,6582,"GO:0016043,GO:0044085"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0021873","GO:BP",0.869920511106159,"forebrain neuroblast division",42,6409,"GO:0021872,GO:0055057"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0042311","GO:BP",0.869920511106159,"vasodilation",42,9991,"GO:0097746"
